NNID;DATUM;OBA;NAME;AGS;ARS;RS;HOEHE;HOEHE_GER;EWZ;EWZ_GER;GEWK;GEMTEIL;VIRTUELL;GEMEINDE;VERWGEM;RECHTS;HOCH
DEBKGGND00001939;30.10.2020;AX_Gemeinde;Scheidegg;9776125;97760125125;97760125125;;;4302;;;Nein;Nein;Scheidegg;Scheidegg;563789.6175910408;5270156.469524921
DEBKGGND0000193B;30.10.2020;AX_Gemeinde;Schweisweiler;7333069;73335006069;73335006069;;;324;;;Nein;Nein;Schweisweiler;Winnweiler;414926.8334514493;5493536.500058795
DEBKGGND0000193D;30.10.2020;AX_Gemeinde;Neuhaus am Rennweg;16072013;160725051013;160725051013;;;8975;;;Nein;Nein;Neuhaus am Rennweg;Neuhaus am Rennweg;651361.3818353531;5597328.864333768
DEBKGGND0000193E;30.10.2020;AX_Gemeinde;Wahlheim;7331067;73315001067;73315001067;;;576;;;Nein;Nein;Wahlheim;Alzey-Land;435486.24946319323;5507566.853964572
DEBKGGND0000193F;30.10.2020;AX_Gemeinde;Wefensleben;15083535;150835053535;150835053535;;;1705;;;Nein;Nein;Wefensleben;Obere Aller;647668.191331202;5783838.6983316615
DEBKGGND0000193I;30.10.2020;AX_Gemeinde;Ehrenberg;16069009;160695002009;160695002009;;;178;;;Nein;Nein;Ehrenberg;Feldstein;617672.9679288422;5593503.049534812
DEBKGGND0000193J;30.10.2020;AX_Gemeinde;Gilserberg;6634006;66340006006;66340006006;;;2943;;;Nein;Nein;Gilserberg;Gilserberg;504285.4474998787;5644507.249288675
DEBKGGND0000193K;30.10.2020;AX_Gemeinde;Stadland;3461009;34610009009;34610009009;;;7404;;;Nein;Nein;Stadland;Stadland;463638.00509427604;5917116.768828879
DEBKGGND0000193L;30.10.2020;AX_Gemeinde;Spardorf;9572154;95725514154;95725514154;;;2231;;;Nein;Nein;Spardorf;Uttenreuth;648424.3211757364;5497180.952004567
DEBKGGND0000193M;30.10.2020;AX_Gemeinde;Biebelnheim;7331010;73315001010;73315001010;;;659;;;Nein;Nein;Biebelnheim;Alzey-Land;440293.3967000492;5516303.394912995
DEBKGGND0000193N;30.10.2020;AX_Gemeinde;KubschÅtz;14625290;146250290290;146250290290;;;2529;;;Nein;Nein;KubschÅtz;KubschÅtz;884769.803643923;5683100.6215496035
DEBKGGND0000193P;30.10.2020;AX_Gemeinde;Vollrathsruhe;13071154;130715160154;130715160154;;;392;;;Nein;Nein;Vollrathsruhe;Seenlandschaft Waren;730492.8070650571;5949472.177639297
DEBKGGND0000193Q;30.10.2020;AX_Gemeinde;Lassan;13075074;130755551074;130755551074;;;1483;;;Nein;Nein;Lassan;Am Peenestrom;817887.5490920534;5988349.076403723
DEBKGGND0000193R;30.10.2020;AX_Gemeinde;HoppstÑdten-Weiersbach;7134042;71345002042;71345002042;;;3703;;;Nein;Nein;HoppstÑdten-Weiersbach;Birkenfeld;369662.79487515404;5497607.989596935
DEBKGGND0000193S;30.10.2020;AX_Gemeinde;Flieden;6631008;66310008008;66310008008;;;8554;;;Nein;Nein;Flieden;Flieden;540240.852342555;5585922.803045754
DEBKGGND0000193U;10.01.2018;AX_Gemeinde;Eglhartinger Forst;9175453;91759453453;91759453453;;;0;;;Nein;Nein;Eglhartinger Forst;Eglhartinger Forst;714855.4726747789;5331366.74683906
DEBKGGND0000193V;30.10.2020;AX_Gemeinde;Staven;13071141;130715157141;130715157141;;;368;;;Nein;Nein;Staven;Neverin;791141.7517576576;5951050.488558683
DEBKGGND0000193W;30.10.2020;AX_Gemeinde;Heinzenbach;7140049;71405004049;71405004049;;;420;;;Nein;Nein;Heinzenbach;Kirchberg (HunsrÅck);386422.61874418217;5537097.2969325725
DEBKGGND0000193X;30.10.2020;AX_Gemeinde;Drelsdorf;1054024;10545494024;10545494024;;;1255;;;Nein;Nein;Drelsdorf;Mittleres Nordfriesland;502666.6922326269;6050948.596223249
DEBKGGND0000193Y;30.10.2020;AX_Gemeinde;Geratskirchen;9277122;92775240122;92775240122;;;850;;;Nein;Nein;Geratskirchen;Massing;771459.8100459229;5360303.718736241
DEBKGGND0000193Z;30.10.2020;AX_Gemeinde;Deggingen;8117014;81175001014;81175001014;;;5333;;;Nein;Nein;Deggingen;Deggingen;553253.2368742708;5382994.016139303
DEBKGGND00001940;30.10.2020;AX_Gemeinde;Damme;3460002;34600002002;34600002002;;;17241;;;Nein;Nein;Damme;Damme;445481.8395122691;5819325.527581007
DEBKGGND00001941;30.10.2020;AX_Gemeinde;Kampen (Sylt);1054061;10545439061;10545439061;;;461;;;Nein;Nein;Kampen (Sylt);Landschaft Sylt;457881.2848505904;6090038.334129488
DEBKGGND00001943;30.10.2020;AX_Gemeinde;ZÅlow;13076163;130765665163;130765665163;;;147;;;Nein;Nein;ZÅlow;Stralendorf;650379.1879249311;5938885.507102546
DEBKGGND00001944;30.10.2020;AX_Gemeinde;Lauda-Kînigshofen;8128139;81280139139;81280139139;;;14493;;;Nein;Nein;Lauda-Kînigshofen;Lauda-Kînigshofen;550690.7460416739;5491071.424948888
DEBKGGND00001945;10.01.2018;AX_Gemeinde;Vordorfer Forst;9479461;94799461461;94799461461;;;0;;;Nein;Nein;Vordorfer Forst;Vordorfer Forst;706048.8683360358;5547350.809477194
DEBKGGND00001946;30.10.2020;AX_Gemeinde;Bad Schwalbach;6439002;64390002002;64390002002;;;11191;;;Nein;Nein;Bad Schwalbach;Bad Schwalbach;433531.76274853246;5554641.5978524
DEBKGGND00001948;30.10.2020;AX_Gemeinde;Klein Trebbow;13074038;130745455038;130745455038;;;1116;;;Nein;Nein;Klein Trebbow;LÅtzow-LÅbstorf;656607.6643457266;5954173.770072425
DEBKGGND00001949;30.10.2020;AX_Gemeinde;Aystetten;9772117;97720117117;97720117117;;;2940;;;Nein;Nein;Aystetten;Aystetten;631391.0142636333;5362832.354279497
DEBKGGND0000194B;30.10.2020;AX_Gemeinde;Burgwedel;3241004;32410004004;32410004004;;;20234;;;Nein;Nein;Burgwedel;Burgwedel;558151.274132989;5816109.170649135
DEBKGGND0000194C;30.10.2020;AX_Gemeinde;Mesekenhagen;13075091;130755555091;130755555091;;;1054;;;Nein;Nein;Mesekenhagen;Landhagen;781852.4613959391;6008793.9653158635
DEBKGGND0000194D;30.10.2020;AX_Gemeinde;Cammin;13072021;130725262021;130725262021;;;775;;;Nein;Nein;Cammin;Tessin;720098.7350370956;5987624.853763646
DEBKGGND0000194F;30.10.2020;AX_Gemeinde;LÅdinghausen;5558024;55580024024;55580024024;;;24822;;;Nein;Nein;LÅdinghausen;LÅdinghausen;392617.19875849306;5736644.574444822
