NNID;DATUM;OBA;NAME;AGS;ARS;RS;HOEHE;HOEHE_GER;EWZ;EWZ_GER;GEWK;GEMTEIL;VIRTUELL;GEMEINDE;VERWGEM;RECHTS;HOCH
DEBKGGND00001ISH;30.10.2020;AX_Gemeinde;Plech;9472177;94725417177;94725417177;;;1352;;;Nein;Nein;Plech;Betzenstein;678161.2978949401;5502867.218104543
DEBKGGND00001ISI;30.10.2020;AX_Gemeinde;Steinen;7143075;71435007075;71435007075;;;241;;;Nein;Nein;Steinen;Selters (Westerwald);415769.6675689019;5603115.027525365
DEBKGGND00001ISK;30.10.2020;AX_Gemeinde;Ihlienworth;3352025;33525411025;33525411025;;;1524;;;Nein;Nein;Ihlienworth;Land Hadeln;494486.1908977674;5954674.576901842
DEBKGGND00001ISN;30.10.2020;AX_Gemeinde;Lehmen;7137504;71375009504;71375009504;;;1293;;;Nein;Nein;Lehmen;Rhein-Mosel;389597.10944386397;5571332.695106025
DEBKGGND00001ISP;30.10.2020;AX_Gemeinde;Soderstorf;3355034;33555401034;33555401034;;;1470;;;Nein;Nein;Soderstorf;Amelinghausen;576671.1252478979;5888594.159125761
DEBKGGND00001ISR;30.10.2020;AX_Gemeinde;Dohren;3454009;34545403009;34545403009;;;1141;;;Nein;Nein;Dohren;Herzlake;404202.53420427407;5833737.458173893
DEBKGGND00001ISS;30.10.2020;AX_Gemeinde;Sanitz;13072091;130720091091;130720091091;;;6048;;;Nein;Nein;Sanitz;Sanitz;720808.3272879798;5997427.879578365
DEBKGGND00001IST;30.10.2020;AX_Gemeinde;Eichstedt (Altmark);15090135;150905051135;150905051135;;;890;;;Nein;Nein;Eichstedt (Altmark);Arneburg-Goldbeck;692811.1371305928;5840505.338506121
DEBKGGND00001ISV;30.10.2020;AX_Gemeinde;Masburg;7135058;71355002058;71355002058;;;1071;;;Nein;Nein;Masburg;Kaisersesch;365725.2050569746;5567207.272099375
DEBKGGND00001ISW;30.10.2020;AX_Gemeinde;Forstern;9177119;91770119119;91770119119;;;3695;;;Nein;Nein;Forstern;Forstern;721296.5913896343;5340968.168886527
DEBKGGND00001ISX;30.10.2020;AX_Gemeinde;Unterensingen;8116068;81165005068;81165005068;;;4858;;;Nein;Nein;Unterensingen;NÅrtingen;526227.5976052268;5389510.491575129
DEBKGGND00001ISZ;30.10.2020;AX_Gemeinde;Schlierschied;7140135;71405004135;71405004135;;;169;;;Nein;Nein;Schlierschied;Kirchberg (HunsrÅck);388034.6937714453;5525978.22151773
DEBKGGND00001IT0;30.10.2020;AX_Gemeinde;GlashÅtte;14628130;146280130130;146280130130;;;6689;;;Nein;Nein;GlashÅtte;GlashÅtte;836483.3961491456;5644258.2683206955
DEBKGGND00001IT2;30.10.2020;AX_Gemeinde;Merzalben;7340031;73405004031;73405004031;;;1146;;;Nein;Nein;Merzalben;Rodalben;407714.3569445952;5455424.518177583
DEBKGGND00001IT5;30.10.2020;AX_Gemeinde;Hirschfeld;14524110;145245111110;145245111110;;;1162;;;Nein;Nein;Hirschfeld;Kirchberg;744688.6971273643;5613880.612422189
DEBKGGND00001IT6;30.10.2020;AX_Gemeinde;Kirchweidach;9171122;91715102122;91715102122;;;2638;;;Nein;Nein;Kirchweidach;Kirchweidach;771318.4394091553;5332271.293241282
DEBKGGND00001IT8;30.10.2020;AX_Gemeinde;Hartheim am Rhein;8315048;83155001048;83155001048;;;4768;;;Nein;Nein;Hartheim am Rhein;Bad Krozingen;397268.50458818825;5310149.515094366
DEBKGGND00001ITB;30.10.2020;AX_Gemeinde;Lage;5766040;57660040040;57660040040;;;34858;;;Nein;Nein;Lage;Lage;485754.9834163267;5760083.442598728
DEBKGGND00001ITD;30.10.2020;AX_Gemeinde;Friedrichsruhe;13076038;130765668038;130765668038;;;872;;;Nein;Nein;Friedrichsruhe;Crivitz;682558.5674305644;5934466.778778906
DEBKGGND00001ITE;30.10.2020;AX_Gemeinde;Schmîlln;16077043;160775052043;160775052043;;;13724;;;Nein;Nein;Schmîlln;Schmîlln;735853.211023804;5643539.527063641
DEBKGGND00001ITF;30.10.2020;AX_Gemeinde;Sankt Goar;7140133;71405006133;71405006133;;;2779;;;Nein;Nein;Sankt Goar;Sankt Goar-Oberwesel;408088.1932228154;5556211.196111604
DEBKGGND00001ITG;30.10.2020;AX_Gemeinde;Wangerland;3455020;34550020020;34550020020;;;9182;;;Nein;Nein;Wangerland;Wangerland;428340.7710351655;5946520.413299924
DEBKGGND00001ITH;30.10.2020;AX_Gemeinde;Kottweiler-Schwanden;7335020;73355008020;73355008020;;;1233;;;Nein;Nein;Kottweiler-Schwanden;Ramstein-Miesenbach;394152.2128961636;5481092.268465068
DEBKGGND00001ITJ;30.10.2020;AX_Gemeinde;Sonnenstein;16061117;160610117117;160610117117;;;4505;;;Nein;Nein;Sonnenstein;Sonnenstein;598632.0184559153;5709847.589118944
DEBKGGND00001ITK;30.10.2020;AX_Gemeinde;Strullendorf;9471195;94710195195;94710195195;;;7989;;;Nein;Nein;Strullendorf;Strullendorf;641506.9610218769;5523269.802398793
DEBKGGND00001ITL;30.10.2020;AX_Gemeinde;Sehlen;13073083;130735353083;130735353083;;;848;;;Nein;Nein;Sehlen;Bergen auf RÅgen;784907.542114936;6034654.5052557625
DEBKGGND00001ITN;18.02.2020;AX_Gemeinde;Senscheid;7131075;71315001075;71315001075;;;90;;;Nein;Nein;Senscheid;Adenau;345613.72338551015;5577631.781462773
DEBKGGND00001ITP;30.10.2020;AX_Gemeinde;Horben;8315056;83155007056;83155007056;;;1166;;;Nein;Nein;Horben;Hexental;414758.44164302514;5309727.10296665
DEBKGGND00001ITQ;30.10.2020;AX_Gemeinde;Mosbruch;7233226;72335004226;72335004226;;;157;;;Nein;Nein;Mosbruch;Kelberg;353112.6681435963;5569726.995282976
DEBKGGND00001ITR;30.10.2020;AX_Gemeinde;Vachendorf;9189161;91895166161;91895166161;;;1812;;;Nein;Nein;Vachendorf;Bergen;769863.0985149515;5304991.863215319
DEBKGGND00001ITS;30.10.2020;AX_Gemeinde;Tensfeld;1060087;10605024087;10605024087;;;669;;;Nein;Nein;Tensfeld;Bornhîved;586482.895321486;5989020.529163992
DEBKGGND00001ITT;30.10.2020;AX_Gemeinde;Aldenhoven;5358004;53580004004;53580004004;;;13787;;;Nein;Nein;Aldenhoven;Aldenhoven;308863.0331524012;5641745.299869459
DEBKGGND00001ITV;30.10.2020;AX_Gemeinde;Holzkirchen;9182120;91820120120;91820120120;;;16640;;;Nein;Nein;Holzkirchen;Holzkirchen;701715.6958594648;5306672.638913975
DEBKGGND00001ITW;30.10.2020;AX_Gemeinde;DombÅhl;9571137;95715502137;95715502137;;;1786;;;Nein;Nein;DombÅhl;SchillingsfÅrst;593311.5769338636;5456497.194815778
DEBKGGND00001ITX;30.10.2020;AX_Gemeinde;Sulingen;3251040;32510040040;32510040040;;;12778;;;Nein;Nein;Sulingen;Sulingen;486562.3063094821;5836928.0431827605
DEBKGGND00001ITY;30.10.2020;AX_Gemeinde;Kotzen;12063165;120635306165;120635306165;;;598;;;Nein;Nein;Kotzen;Nennhausen;738039.950384941;5837645.744747563
DEBKGGND00001ITZ;30.10.2020;AX_Gemeinde;Steinhîring;9175137;91750137137;91750137137;;;4124;;;Nein;Nein;Steinhîring;Steinhîring;725690.3579262178;5330368.559892396
DEBKGGND00001IU0;30.10.2020;AX_Gemeinde;Laufen;9172122;91720122122;91720122122;;;7316;;;Nein;Nein;Laufen;Laufen;793694.5431409975;5316780.3359441925
DEBKGGND00001IU2;30.10.2020;AX_Gemeinde;Otterstadt;7338021;73385008021;73385008021;;;3475;;;Nein;Nein;Otterstadt;Rheinauen;460146.2904945415;5468898.357731729
DEBKGGND00001IU4;30.10.2020;AX_Gemeinde;Garlstorf;3353011;33535405011;33535405011;;;1124;;;Nein;Nein;Garlstorf;Salzhausen;573593.6723839013;5899201.48199538
DEBKGGND00001IU5;18.02.2020;AX_Gemeinde;Kempter Wald;9780451;97809451451;97809451451;;;0;;;Nein;Nein;Kempter Wald;Kempter Wald;608151.732685768;5285059.243701678
DEBKGGND00001IU6;30.10.2020;AX_Gemeinde;Rimpar;9679180;96790180180;96790180180;;;7653;;;Nein;Nein;Rimpar;Rimpar;568744.0751961288;5523176.453036985
DEBKGGND00001IU7;30.10.2020;AX_Gemeinde;Freistatt;3251018;32515404018;32515404018;;;473;;;Nein;Nein;Freistatt;Kirchdorf;476235.4683626445;5830398.476872545
DEBKGGND00001IU9;30.10.2020;AX_Gemeinde;Schkeuditz;14730270;147300270270;147300270270;;;18312;;;Nein;Nein;Schkeuditz;Schkeuditz;724109.3423336018;5698812.792308969
DEBKGGND00001IUA;30.10.2020;AX_Gemeinde;Kînigsbronn;8135025;81350025025;81350025025;;;7149;;;Nein;Nein;Kînigsbronn;Kînigsbronn;581780.0357747397;5399490.9030128755
DEBKGGND00001IUC;30.10.2020;AX_Gemeinde;Gro·fahner;16067033;160675012033;160675012033;;;825;;;Nein;Nein;Gro·fahner;Fahner Hîhe;628044.9270040679;5657629.400590398
DEBKGGND00001IUD;30.10.2020;AX_Gemeinde;Bissee;1058016;10585889016;10585889016;;;165;;;Nein;Nein;Bissee;Bordesholm;572456.4727027409;6005309.163267246
DEBKGGND00001IUE;30.10.2020;AX_Gemeinde;Marienwerder;12060154;120605003154;120605003154;;;1686;;;Nein;Nein;Marienwerder;Biesenthal-Barnim;809687.2543293778;5864622.635413132
DEBKGGND00001IUG;30.10.2020;AX_Gemeinde;Grafenwîhr;9374124;93740124124;93740124124;;;6383;;;Nein;Nein;Grafenwîhr;Grafenwîhr;709466.1424690058;5511650.780512479
DEBKGGND00001IUH;30.10.2020;AX_Gemeinde;Neuendorf-Sachsenbande;1061119;10615179119;10615179119;;;444;;;Nein;Nein;Neuendorf-Sachsenbande;Wilstermarsch;521461.542630039;5979269.439265649
DEBKGGND00001IUI;30.10.2020;AX_Gemeinde;KrÑhenberg;7340216;73405009216;73405009216;;;177;;;Nein;Nein;KrÑhenberg;Thaleischweiler-Wallhalben;388390.95652101;5465279.500172972
DEBKGGND00001IUJ;10.01.2018;AX_Gemeinde;Wolferlohe;9376455;93769455455;93769455455;;;0;;;Nein;Nein;Wolferlohe;Wolferlohe;717310.1525209495;5465913.601636225
DEBKGGND00001IUK;30.10.2020;AX_Gemeinde;Winsen (Aller);3351024;33510024024;33510024024;;;13270;;;Nein;Nein;Winsen (Aller);Winsen (Aller);561429.3383561206;5836985.425225416
DEBKGGND00001IUM;30.10.2020;AX_Gemeinde;Rheinberg;5170032;51700032032;51700032032;;;30854;;;Nein;Nein;Rheinberg;Rheinberg;333775.61142842425;5713160.192369095
DEBKGGND00001IUO;30.10.2020;AX_Gemeinde;Neidenstein;8226058;82265009058;82265009058;;;1743;;;Nein;Nein;Neidenstein;Waibstadt;491570.7337216558;5462643.576823516
DEBKGGND00001IUP;30.10.2020;AX_Gemeinde;Neichen;7233048;72335004048;72335004048;;;132;;;Nein;Nein;Neichen;Kelberg;348231.9184200169;5569835.811255409
DEBKGGND00001IUQ;30.10.2020;AX_Gemeinde;Oerlinghausen;5766056;57660056056;57660056056;;;17142;;;Nein;Nein;Oerlinghausen;Oerlinghausen;476726.8313025968;5755788.7360088
DEBKGGND00001IUR;30.10.2020;AX_Gemeinde;Lenzerwische;12070246;120705005246;120705005246;;;455;;;Nein;Nein;Lenzerwische;Lenzen-Elbtalaue;658066.5865440536;5882297.113002487
DEBKGGND00001IUS;30.10.2020;AX_Gemeinde;Krummendiek;1061059;10615138059;10615138059;;;88;;;Nein;Nein;Krummendiek;Itzehoe-Land;527329.6433647788;5977398.200101513
DEBKGGND00001IUT;30.10.2020;AX_Gemeinde;Gro· Ber·en;3454016;34545407016;34545407016;;;680;;;Nein;Nein;Gro· Ber·en;Sîgel;398471.4919080839;5848311.450471743
DEBKGGND00001IUV;30.10.2020;AX_Gemeinde;Tirschenreuth;9377154;93770154154;93770154154;;;8712;;;Nein;Nein;Tirschenreuth;Tirschenreuth;739694.8517861109;5530431.560239009
DEBKGGND00001IUW;30.10.2020;AX_Gemeinde;Schiltberg;9771162;97715703162;97715703162;;;1966;;;Nein;Nein;Schiltberg;KÅhbach;666293.8999302266;5370071.848705895
DEBKGGND00001IUX;30.10.2020;AX_Gemeinde;Dahlem;7232024;72325008024;72325008024;;;249;;;Nein;Nein;Dahlem;Bitburger Land;327242.6148719083;5531932.595876716
DEBKGGND00001IUY;30.10.2020;AX_Gemeinde;Ostercappeln;3459029;34590029029;34590029029;;;9694;;;Nein;Nein;Ostercappeln;Ostercappeln;447284.10038786224;5799766.161663472
DEBKGGND00001IV1;30.10.2020;AX_Gemeinde;Nachtsheim;7137079;71375003079;71375003079;;;560;;;Nein;Nein;Nachtsheim;Vordereifel;362110.8633489427;5575796.95291903
DEBKGGND00001IV2;30.10.2020;AX_Gemeinde;Zierenberg;6633029;66330029029;66330029029;;;6572;;;Nein;Nein;Zierenberg;Zierenberg;520902.24485751125;5690749.141434064
DEBKGGND00001IV4;30.10.2020;AX_Gemeinde;Holldorf;13071067;130715161067;130715161067;;;774;;;Nein;Nein;Holldorf;Stargarder Land;783533.4243465627;5932551.58304707
DEBKGGND00001IV5;30.10.2020;AX_Gemeinde;Burscheid;5378008;53780008008;53780008008;;;18346;;;Nein;Nein;Burscheid;Burscheid;367888.4984616424;5661052.945593279
DEBKGGND00001IV8;30.10.2020;AX_Gemeinde;Ribnitz-Damgarten;13073075;130735361075;130735361075;;;15235;;;Nein;Nein;Ribnitz-Damgarten;Ribnitz-Damgarten;723600.4509584674;6015997.796652959
DEBKGGND00001IVA;30.10.2020;AX_Gemeinde;Wagenfeld;3251044;32510044044;32510044044;;;7225;;;Nein;Nein;Wagenfeld;Wagenfeld;472222.5891182986;5821877.0152152
DEBKGGND00001IVC;30.10.2020;AX_Gemeinde;Freilingen;7143018;71435007018;71435007018;;;669;;;Nein;Nein;Freilingen;Selters (Westerwald);417460.92537056137;5601453.038994099
DEBKGGND00001IVF;30.10.2020;AX_Gemeinde;Jugenheim in Rheinhessen;7339031;73395006031;73395006031;;;1582;;;Nein;Nein;Jugenheim in Rheinhessen;Nieder-Olm;434268.8704629473;5527374.205399115
DEBKGGND00001IVG;30.10.2020;AX_Gemeinde;Osten;3352044;33525407044;33525407044;;;1787;;;Nein;Nein;Osten;Hemmoor;512424.48506427143;5949511.292196458
DEBKGGND00001IVH;10.01.2018;AX_Gemeinde;Auwald;9775451;97759451451;97759451451;;;0;;;Nein;Nein;Auwald;Auwald;579779.3759713223;5342231.811169939
DEBKGGND00001IVI;30.10.2020;AX_Gemeinde;Ehweiler;7336018;73365010018;73365010018;;;164;;;Nein;Nein;Ehweiler;Kusel-Altenglan;381490.0724661018;5486794.784534763
DEBKGGND00001IVJ;30.10.2020;AX_Gemeinde;Hennweiler;7133043;71335003043;71335003043;;;1220;;;Nein;Nein;Hennweiler;Kirn-Land;387503.73439311906;5519706.074026302
DEBKGGND00001IVK;30.10.2020;AX_Gemeinde;Kleinbockedra;16074046;160745007046;160745007046;;;34;;;Nein;Nein;Kleinbockedra;HÅgelland/TÑler;686351.5231457828;5635679.920022538
DEBKGGND00001IVL;30.10.2020;AX_Gemeinde;Seeshaupt;9190152;91905179152;91905179152;;;3253;;;Nein;Nein;Seeshaupt;Seeshaupt;672224.9450143834;5299417.110192363
DEBKGGND00001IVM;30.10.2020;AX_Gemeinde;Lemgow;3354015;33545407015;33545407015;;;1356;;;Nein;Nein;Lemgow;LÅchow (Wendland);656120.2893011785;5864791.710725951
DEBKGGND00001IVN;30.10.2020;AX_Gemeinde;Rîgling;9779206;97795724206;97795724206;;;660;;;Nein;Nein;Rîgling;Monheim;642809.1606254715;5412325.148404436
DEBKGGND00001IVO;30.10.2020;AX_Gemeinde;Niederkirchen;7335029;73355010029;73355010029;;;1856;;;Nein;Nein;Niederkirchen;Otterbach-Otterberg;405758.677649679;5492564.596522348
DEBKGGND00001IVP;30.10.2020;AX_Gemeinde;Mestlin;13076096;130765656096;130765656096;;;753;;;Nein;Nein;Mestlin;Goldberg-Mildenitz;693767.5505226746;5940838.748819474
DEBKGGND00001IVS;30.10.2020;AX_Gemeinde;Olpe;5966024;59660024024;59660024024;;;24551;;;Nein;Nein;Olpe;Olpe;418903.9795052392;5653525.967521167
DEBKGGND00001IVT;30.10.2020;AX_Gemeinde;Voerde (Niederrhein);5170044;51700044044;51700044044;;;36017;;;Nein;Nein;Voerde (Niederrhein);Voerde (Niederrhein);339651.98810172186;5718596.666041605
DEBKGGND00001IVV;30.10.2020;AX_Gemeinde;Ennepetal;5954008;59540008008;59540008008;;;30142;;;Nein;Nein;Ennepetal;Ennepetal;386197.2339516399;5684139.965274914
DEBKGGND00001IVW;30.10.2020;AX_Gemeinde;Gruibingen;8117028;81175007028;81175007028;;;2266;;;Nein;Nein;Gruibingen;Oberes Filstal;547255.9179400457;5382726.840116781
DEBKGGND00001IVX;18.02.2020;AX_Gemeinde;Gangloffsîmmern;16068013;160685009013;160685009013;;;977;;;Nein;Nein;Gangloffsîmmern;Strau·furt;635762.5000601568;5672752.289049482
DEBKGGND00001IVY;30.10.2020;AX_Gemeinde;Pferdingsleben;16067055;160675007055;160675007055;;;398;;;Nein;Nein;Pferdingsleben;Nesseaue;627589.6200347386;5648079.013707604
DEBKGGND00001IVZ;30.10.2020;AX_Gemeinde;Wincheringen;7235149;72355008149;72355008149;;;2276;;;Nein;Nein;Wincheringen;Saarburg-Kell;314061.75921335164;5498396.026185851
DEBKGGND00001IW2;30.10.2020;AX_Gemeinde;Meyn;1059144;10595952144;10595952144;;;735;;;Nein;Nein;Meyn;Schafflund;514280.4169991796;6067928.314242922
DEBKGGND00001IW3;30.10.2020;AX_Gemeinde;Windbergen;1051134;10515175134;10515175134;;;792;;;Nein;Nein;Windbergen;Mitteldithmarschen;507712.03328038496;5988532.370990981
DEBKGGND00001IW4;30.10.2020;AX_Gemeinde;Martinroda;16070034;160705002034;160705002034;;;1181;;;Nein;Nein;Martinroda;Geratal/Plaue;633261.0614848603;5620739.167152357
DEBKGGND00001IW6;30.10.2020;AX_Gemeinde;Uelversheim;7339059;73395007059;73395007059;;;1094;;;Nein;Nein;Uelversheim;Rhein-Selz;448827.6418658639;5517620.856173576
DEBKGGND00001IW9;30.10.2020;AX_Gemeinde;Nu·bach;7336069;73365008069;73365008069;;;553;;;Nein;Nein;Nu·bach;Lauterecken-Wolfstein;405814.19527106255;5498214.55483343
DEBKGGND00001IWA;30.10.2020;AX_Gemeinde;Eckernfîrde;1058043;10580043043;10580043043;;;21728;;;Nein;Nein;Eckernfîrde;Eckernfîrde;554243.1741226016;6036449.163809117
DEBKGGND00001IWB;30.10.2020;AX_Gemeinde;SÅdeichsfeld;16064074;160645052074;160645052074;;;6604;;;Nein;Nein;SÅdeichsfeld;SÅdeichsfeld;592310.4565201834;5668880.037512836
DEBKGGND00001IWC;30.10.2020;AX_Gemeinde;Dorfprozelten;9676118;96760118118;96760118118;;;1770;;;Nein;Nein;Dorfprozelten;Dorfprozelten;527374.8945667192;5514094.496530115
DEBKGGND00001IWD;30.10.2020;AX_Gemeinde;Visselhîvede;3357051;33570051051;33570051051;;;9598;;;Nein;Nein;Visselhîvede;Visselhîvede;538961.0520020232;5870821.870830574
DEBKGGND00001IWE;30.10.2020;AX_Gemeinde;Krottelbach;7336054;73365009054;73365009054;;;641;;;Nein;Nein;Krottelbach;Oberes Glantal;379085.92387226864;5480712.026120741
DEBKGGND00001IWF;30.10.2020;AX_Gemeinde;Ilmenau;16070029;160700029029;160700029029;;;38891;;;Nein;Nein;Ilmenau;Ilmenau;635315.3510160188;5616654.327270272
DEBKGGND00001IWG;30.10.2020;AX_Gemeinde;Helmstadt-Bargen;8226106;82265009106;82265009106;;;3795;;;Nein;Nein;Helmstadt-Bargen;Waibstadt;498187.847621449;5463740.894389933
DEBKGGND00001IWH;30.10.2020;AX_Gemeinde;Irndorf;8327027;83275001027;83275001027;;;695;;;Nein;Nein;Irndorf;Donau-Heuberg;497896.05041989504;5323673.4014199665
DEBKGGND00001IWK;30.10.2020;AX_Gemeinde;FÅrth;9563000;95630000000;95630000000;;;128497;;;Nein;Nein;FÅrth;FÅrth;644151.114618878;5482429.73620171
DEBKGGND00001IWL;30.10.2020;AX_Gemeinde;Hirschberg;7141057;71415003057;71415003057;;;392;;;Nein;Nein;Hirschberg;Diez;423382.98345664854;5581222.276488016
DEBKGGND00001IWM;30.10.2020;AX_Gemeinde;Elstra;14625130;146250130130;146250130130;;;2723;;;Nein;Nein;Elstra;Elstra;858386.1941548937;5687058.058031985
DEBKGGND00001IWN;30.10.2020;AX_Gemeinde;Springe;3241017;32410017017;32410017017;;;29013;;;Nein;Nein;Springe;Springe;537920.6343824855;5784418.097614835
DEBKGGND00001IWQ;30.10.2020;AX_Gemeinde;Wintrich;7231133;72315001133;72315001133;;;894;;;Nein;Nein;Wintrich;Bernkastel-Kues;352960.3233454451;5527572.376826337
DEBKGGND00001IWR;30.10.2020;AX_Gemeinde;Hennigsdorf;12065136;120650136136;120650136136;;;26345;;;Nein;Nein;Hennigsdorf;Hennigsdorf;784750.639585676;5840439.710091419
DEBKGGND00001IWS;30.10.2020;AX_Gemeinde;Waldbrîl;5374044;53740044044;53740044044;;;19553;;;Nein;Nein;Waldbrîl;Waldbrîl;402727.875083772;5637012.284237331
DEBKGGND00001IWT;30.10.2020;AX_Gemeinde;Beulich;7140201;71405002201;71405002201;;;488;;;Nein;Nein;Beulich;Emmelshausen;389457.5207215623;5559071.302623336
DEBKGGND00001IWU;30.10.2020;AX_Gemeinde;Nienhagen;13072075;130725251075;130725251075;;;2014;;;Nein;Nein;Nienhagen;Bad Doberan-Land;692784.4330164406;6005423.228938043
DEBKGGND00001IWV;30.10.2020;AX_Gemeinde;Dîrrebach;7133025;71335008025;71335008025;;;700;;;Nein;Nein;Dîrrebach;Stromberg;408118.349586224;5533372.5530249085
DEBKGGND00001IWZ;30.10.2020;AX_Gemeinde;Orsingen-Nenzingen;8335099;83355006099;83355006099;;;3524;;;Nein;Nein;Orsingen-Nenzingen;Stockach;496902.99302656914;5298863.843400387
DEBKGGND00001IX0;30.10.2020;AX_Gemeinde;Lehnstedt;16071049;160715008049;160715008049;;;341;;;Nein;Nein;Lehnstedt;Mellingen;671227.7613956317;5645986.379699724
DEBKGGND00001IX2;30.10.2020;AX_Gemeinde;Hartenstein;9574129;95745527129;95745527129;;;1459;;;Nein;Nein;Hartenstein;Velden;682340.540358636;5496808.531301801
DEBKGGND00001IX3;30.10.2020;AX_Gemeinde;Lippersdorf-Erdmannsdorf;16074053;160745007053;160745007053;;;439;;;Nein;Nein;Lippersdorf-Erdmannsdorf;HÅgelland/TÑler;696984.1056740284;5634396.18556548
DEBKGGND00001IX5;30.10.2020;AX_Gemeinde;Waldgrehweiler;7333079;73335001079;73335001079;;;209;;;Nein;Nein;Waldgrehweiler;Alsenz-Obermoschel;409224.21957311814;5502533.602435076
DEBKGGND00001IX6;30.10.2020;AX_Gemeinde;Hallstadt;9471140;94710140140;94710140140;;;8583;;;Nein;Nein;Hallstadt;Hallstadt;634582.5033486559;5532357.383648862
DEBKGGND00001IX7;30.10.2020;AX_Gemeinde;Elbingen;7143501;71435008501;71435008501;;;324;;;Nein;Nein;Elbingen;Wallmerod;422730.18991685176;5597888.42427885
DEBKGGND00001IX8;30.10.2020;AX_Gemeinde;Bad Frankenhausen/KyffhÑuser;16065003;160650003003;160650003003;;;10139;;;Nein;Nein;Bad Frankenhausen/KyffhÑuser;Bad Frankenhausen/KyffhÑuser;646266.2180260841;5691655.978120826
DEBKGGND00001IX9;30.10.2020;AX_Gemeinde;Huy;15085185;150850185185;150850185185;;;7139;;;Nein;Nein;Huy;Huy;636017.882196153;5760208.11127257
DEBKGGND00001IXA;18.02.2020;AX_Gemeinde;Rochau;15090435;150905051435;150905051435;;;1015;;;Nein;Nein;Rochau;Arneburg-Goldbeck;685215.8532386175;5843230.840976214
DEBKGGND00001IXB;30.10.2020;AX_Gemeinde;Mutterschied;7140099;71405007099;71405007099;;;480;;;Nein;Nein;Mutterschied;Simmern/HunsrÅck;397343.4489167246;5537559.710712942
DEBKGGND00001IXC;30.10.2020;AX_Gemeinde;Bahrdorf;3154001;31545404001;31545404001;;;1825;;;Nein;Nein;Bahrdorf;Velpke;636391.3884884801;5806038.184951159
DEBKGGND00001IXD;30.10.2020;AX_Gemeinde;Wallenfels;9476184;94760184184;94760184184;;;2627;;;Nein;Nein;Wallenfels;Wallenfels;676104.1584930597;5571397.110633106
DEBKGGND00001IXE;30.10.2020;AX_Gemeinde;Schînbrunn;8226081;82265001081;82265001081;;;2824;;;Nein;Nein;Schînbrunn;Eberbach;494855.52106233727;5473120.292670735
DEBKGGND00001IXF;30.10.2020;AX_Gemeinde;Rustenfelde;16061082;160615008082;160615008082;;;505;;;Nein;Nein;Rustenfelde;Hanstein-Rusteberg;569811.9090903538;5694154.103791469
DEBKGGND00001IXH;30.10.2020;AX_Gemeinde;Wittorf;3355042;33555402042;33555402042;;;1454;;;Nein;Nein;Wittorf;Bardowick;591916.5662585596;5910036.988224481
DEBKGGND00001IXI;30.10.2020;AX_Gemeinde;Jesteburg;3353020;33535404020;33535404020;;;7969;;;Nein;Nein;Jesteburg;Jesteburg;563487.4242511976;5906782.399408996
DEBKGGND00001IXK;18.02.2020;AX_Gemeinde;Buttenwiesen;9773122;97730122122;97730122122;;;5936;;;Nein;Nein;Buttenwiesen;Buttenwiesen;626906.4267267542;5384908.15267247
DEBKGGND00001IXN;30.10.2020;AX_Gemeinde;Kandel;7334013;73345004013;73345004013;;;9034;;;Nein;Nein;Kandel;Kandel;441053.01669595647;5436815.041208877
DEBKGGND00001IXO;30.10.2020;AX_Gemeinde;Neustadt-Glewe;13076105;130765660105;130765660105;;;7032;;;Nein;Nein;Neustadt-Glewe;Neustadt-Glewe;671946.9761255762;5918009.170991
DEBKGGND00001IXQ;30.10.2020;AX_Gemeinde;BÅdelsdorf;1058034;10580034034;10580034034;;;10466;;;Nein;Nein;BÅdelsdorf;BÅdelsdorf;544093.4277780005;6018857.926333333
DEBKGGND00001IXR;30.10.2020;AX_Gemeinde;Nausnitz;16074061;160745051061;160745051061;;;88;;;Nein;Nein;Nausnitz;BÅrgel;691862.4595166785;5646876.609159633
DEBKGGND00001IXT;30.10.2020;AX_Gemeinde;Carlsberg;7332007;73325007007;73325007007;;;3454;;;Nein;Nein;Carlsberg;Leiningerland;430397.2104201925;5484053.234865446
DEBKGGND00001IXU;30.10.2020;AX_Gemeinde;Schlierbach;8117044;81175002044;81175002044;;;3955;;;Nein;Nein;Schlierbach;Ebersbach an der Fils;538119.0235913972;5391314.273424149
DEBKGGND00001IXV;30.10.2020;AX_Gemeinde;Hîhr-Grenzhausen;7143032;71435003032;71435003032;;;9261;;;Nein;Nein;Hîhr-Grenzhausen;Hîhr-Grenzhausen;405428.2291290865;5587745.911650818
DEBKGGND00001IXW;30.10.2020;AX_Gemeinde;Memmingen;9764000;97640000000;97640000000;;;44100;;;Nein;Nein;Memmingen;Memmingen;588412.3732830721;5315695.281521951
DEBKGGND00001IXY;30.10.2020;AX_Gemeinde;Ottendorf;16074066;160745007066;160745007066;;;402;;;Nein;Nein;Ottendorf;HÅgelland/TÑler;698775.4820811375;5634384.408141073
DEBKGGND00001IXZ;30.10.2020;AX_Gemeinde;Bretten;8215007;82155002007;82155002007;;;29566;;;Nein;Nein;Bretten;Bretten;478631.8381598838;5431572.835594078
DEBKGGND00001IY0;30.10.2020;AX_Gemeinde;Angelburg;6534002;65340002002;65340002002;;;3555;;;Nein;Nein;Angelburg;Angelburg;461231.70629662735;5630415.248090135
