Wunstorf;1355.752;5366.875
Wunsiedel-Holenbrunn;3220.5;2773.594
Wünsdorf-Waldstadt;4103.607;5175.715
Wünschendorf (Elster) Nord;3217.182;3626.898
Wünschendorf (Elster);3231.867;3604.809
Wullenstetten;1842.76;803.3594
Wulkow (Kr Neuruppin);3681.42;6000.445
Wülknitz;4103.505;4286.172
Wulften;1863.737;4524.645
Wulfsen Nord;1814.837;6348.277
Wülfrath-Aprath;-296.5417;4099.27
Wulfen (Westf);-324.7083;4602.055
Wulfen (Anh);3062.782;4735.398
Wuitz-Mumsdorf;3331.902;3896.918
Wrist;1540.656;7049.438
Wriezen;4519.514;5816.742
Wremen;732.4731;6729.387
Wössingen Ost;765.1343;1579.902
Wössingen;760.5313;1578.578
Wörth Mozartstraße;502.5317;1624.891
Wörth am Main;1161.505;2443.152
Wörth (Rhein) Zügelstraße;510.0557;1621.855
Wörth (Rhein) Alte Bahnmeisterei;513.8394;1617.34
Wörth (Rhein);518.0249;1614.684
Wörth (Isar);3505.431;1196.449
Wörsdorf;513.623;2947.219
Wörrstadt;412.501;2505.391
Worpswede;989.7778;6259.465
Wörnitzstein;2309.81;1277.98
Worms Hbf;584.0889;2268.824
Worms Brücke;593.2891;2285.027
Wörlitz;3406.297;4771.414
Wörblitz;3704.531;4590.535
Woltwiesche;1924.394;5127.133
Woltorf;1936.06;5233.785
Woltersdorf/Nuthe-Urstromtal;3920.117;5108.973
Woltersdorf (bei Magdeburg);2948.409;5102.508
Wolterdingen (Han);1616.502;6040.652
Wölpern;3539.121;4338.434
Wolnzach Markt;2983.396;1150.492
Wolmirstedt;2848.386;5208.645
Wollmetshofen;2254.032;778.0078
Wollbach (Baden);34.33813;88.73438
Wolkramshausen;2262.313;4288.266
Wolkenstein;3921.368;3477.25
Wolkenburg;3631.385;3736.91
Wolgaster Fähre;4184.961;7289.262
Wolgast Hafen;4177.792;7284.609
Wolgast;4170.898;7275.488
Wolfstein;45.55713;2218.82
Wolfsmünster;1574.066;2781.254
Wolfsgefärth Bf;3214.564;3637.91
Wolfsgefärth;3213.892;3625.715
Wolfratshausen;2862.523;382.2891
Wolfhagen;1175.081;4152.738
Wolfgang (Kr Hanau);1018.86;2809.223
Wölfersheim-Södel;918.3701;3114.305
Wölfershausen;2068.241;3228.891
Wolfersdorf (Kr Greiz);3283.846;3592.898
Wolferode;2788.878;4383.898
Wolfenbüttel;2096.856;5084.688
Wolfen (Kr Bitterfeld);3316.96;4570.195
Wolfegg;1654.382;256.6133
Wolfach;472.4409;781.1523
Wolbeck;172.7065;4807.016
Wohltorf;1897.963;6597.098
Wohldenberg;1837.329;4982.289
Woffleben;2242.785;4416.152
Witzwort;1046.975;7549.648
Witzschdorf;3931.485;3614.039
Witzighausen;1864.087;807.5938
Witzenhausen Nord;1650.753;4178.973
Wittstock (Dosse);3375.134;6243.254
Wittmund;247.1792;6660.5
Wittmansdorf (Niederlausitz);4512.026;5105.699
Wittlingen;33.04761;77.57422
Wittlich Hbf;-425.2251;2662.555
Wittlage;622.25;5251.992
Wittingen West;2214.125;5718.523
Wittingen;2212.123;5718.344
Wittighausen;1660.652;2251.207
Wittgensdorf ob Bf;3750.699;3724.652
Wittgensdorf Mitte;3770.712;3715.883
Witterda;2372.812;3859.313
Wittenhagen;3695.348;7402.59
Wittenburg (Meckl);2430.552;6597.77
Wittenberge;2903.197;6046.793
Witten-Bommern;-104.467;4269.313
Witten-Annen Nord;-81.89575;4294.883
Witten Zeche Nachtigall;-122.0801;4275.582
Witten Hbf;-111.7939;4281.809
Wittbräucke;-31.22632;4264.168
Wissingen;506.002;5186.734
Wissen (Sieg);160.7612;3550.574
Wismar Hafen;2663.857;7042.332
Wismar;2671.358;7034.48
Wirtheim;1230.823;2924.34
Wirges;187.1367;3200.922
Wippra;2629.373;4449.254
Wipperdorf;2202.124;4301.648
Winterswick (Kr Moers);-611.0559;4411.375
Wintersdorf (Baden);418.4541;1388.93
Wintersdorf;3401.454;3892.824
Wintermoor;1602.767;6218.559
Winterhausen;1778.266;2353.598
Winterberg (Westf);722.2061;4007.574
Winterbach (bei Schorndorf);1402.19;1337.66
Winsen-Nord;1857.631;6422.625
Winsen (Luhe)-Süd;1854.074;6409.082
Winsen (Luhe);1853.529;6408.324
Winnweiler;224.1558;2199.902
Winninghausen;1345.813;5257.258
Winningen (Mosel);-4.129395;3035.203
Winnenden;1336.958;1429.023
Winkelhaid;2719.007;2023.148
Wingst;1113.339;6839.469
Wingerode;1912.425;4224.613
Windsfeld-Dittenheim;2361.114;1654.723
Windsbach;2377.344;1854.855
Windischeschenbach;3326.292;2492.789
Windheim (Weser);1065.622;5349.57
Winden (Pfalz);407.8184;1668.789
Windelsbleiche;726.8701;4849.672
Wincheringen;-822.3984;2271.68
Wilzhofen;2680.583;331.6289
Wiltingen (Saar);-689.8289;2326.016
Wilthen;4823.749;4026.438
Wilster;1300.371;7040.289
Wilsenroth;362.4238;3268.453
Wilmersdorf (Kr Beeskow);4550.617;5315.5
Wilmersdorf (Kr Angermünde);4323.091;6243.844
Willsbach;1310.212;1720.238
Willmering;3718.087;1898.883
Willmenrod;330.5649;3276.992
Willingen-Stryck;792.2529;4099.305
Willingen;772.6172;4110.973
Willebadessen;1056.834;4475.809
Wilkau-Haßlau;3527.824;3482.688
Wilischthal;3912.01;3556.238
Wilhermsdorf Mitte;2291.097;2108.207
Wilhermsdorf;2298.407;2112.449
Wilhelmsthal;-135.8081;4026.094
Wilhelmshütte (Lahn);732.562;3639.063
Wilhelmshorst;3820.32;5343.18
Wilhelmshaven Ölweiche;443.1997;6677.375
Wilhelmshaven Mobil Oil;424.9717;6708.934
Wilhelmshaven JadeWeserPort;477.0361;6677.902
Wilhelmshaven;463.2891;6589.23
Wilhelmsdorf (Taunus);679.9087;3062.582
Wilgartswiesen;236.855;1799.469
Wilferdingen-Singen;737.561;1511.465
Wildeshausen;666.4497;5896.957
Wildeck-Obersuhl;1768.608;3734.902
Wildeck-Hönebach;1713.442;3716.82
Wildeck-Bosserode;1745.958;3728.117
Wildberg (Württ);859.3159;1146.48
Wildberg (bei Neuruppin);3499.157;5937.918
Wildbach Hp;3985.14;3370.879
Wildau;4206.061;5352.891
Wilburgstetten;2070.36;1597.516
Wietzendorf;1699.277;5919.473
Wiesthal;1364.108;2691.738
Wiesmühl (Alz);3701.551;627.5781
Wiesloch-Walldorf;805.0225;1884.027
Wieslensdorf;1356.857;1727.703
Wiesenthau;2583.059;2377.555
Wiesental;686.9111;1812.793
Wiesenfeld (bei Coburg);2410.696;3024.203
Wiesenfeld;872.2563;3791.047
Wiesenburg (Sachs);3568.252;3458.785
Wiesenburg (Mark);3400.93;5061.355
Wiesenau Hp;4860.941;5300.848
Schierstein;472.9507;2728.523
Igstadt;566.6709;2766.793
Erbenheim;543.8291;2734.563
Dotzheim;478.6953;2762.016
Biebrich-Mosbach;502.9819;2729.34
Wiesbaden Taunusbahnhof;487.6196;2757.695
Wiesbaden Ludwigsbahnhof;487.6196;2756.695
Biebrich Kurve;516.5313;2721.016
Wiesbaden Rheinbahnhof;507.4683;2752.52
Wiesau (Oberpf);3340.563;2622.379
Wiesa (Erzgeb);3894.987;3427.469
Wieren;2163.421;5902.047
Wiemersdorf;1650.538;7074.797
Wiehl;29.95239;3735.594
Wiehe Kurpark;1041.829;5806.641
Wiednitz;4554.379;4341.773
Wiederstein;374.0146;3537.34
Wiederitzsch;3392.085;4271.242
Wiebelskirchen;-275.2266;1988.238
Widdig;-345.3904;3569.438
Wickrath;-761.531;3964.965
Wicklesgreuth;2291.721;1919.598
Wickede (Ruhr);267.6445;4339.672
Weyerdeelen-Umbeck;1011.606;6269
Wetzlar Propan Rheingas;676.3105;3288.633
Wetzlar;698.5903;3303.105
Wetterzeube;3163.183;3837.895
Wetter (Ruhr);-74.43408;4226.703
Wetter (Hess-Nass);859.5547;3676.914
