Amerika (Sachs);3672.133;3775.328;0
Ammern;2067.091;4054.082;0
Amorbach;1209.766;2278.953;0
Ampfing;3580.311;787.5625;0
Amsdorf;2938.091;4335.18;0
Amstetten (Württ);1691.554;1097.633;0
Amtshainersdorf;4721.388;3877.449;0
Andernach;-84.01978;3167.844;0
Angermund;-496.0098;4172.367;0
Angermünde;4399.441;6143.672;0
Angern-Rogätz;2929.098;5309.758;0
Angersbach;1363.995;3375.574;0
Angersdorf;3065.533;4336.32;0
Anglberg;3119.938;991.5156;0
Anklam;4140.568;7063.543;0
Ankum;291.0479;5505.469;0
Annaberg-Buchholz Mitte;3881.789;3379.133;0
Annaberg-Buchholz Süd;3880.074;3367.18;0
Annaberg-Buchholz unterer Bahnhof;3879.364;3393.199;0
Annaburg;3833.911;4671.473;0
Annenheide;816.2378;6034;0
Annweiler am Trifels;297.1167;1794.719;0
Annweiler-Sarnstall;275.2969;1797.063;0
Anrath;-727.7104;4133.355;0
Anröchte;583.2476;4419.141;0
Ansbach;2196.041;1903.598;0
Antonsthal;3712.085;3295.797;0
Anwanden;2448.633;2036.059;0
Anzefahr;950.4404;3612.809;0
Anzenkirchen;4022.582;1010.055;0
Apensen;1456.617;6502.113;0
Äpfingen;1682.936;622.1484;0
Apolda;2821.262;3849.469;0
Appenweier;291.3276;1056.359;0
Arbste;1044.396;5771.07;0
Ardey;165.4468;4328.5;0
Arendsee (Altm);2726.295;5901.953;0
Arensdorf (bei Köthen);3126.42;4616.645;0
Arenshausen;1723.258;4205.582;0
Arfurt (Lahn);487.7505;3127.789;0
Armsen;1272.23;5886.664;0
Armsheim;382.3877;2463.563;0
Arnbach;2787.78;855.5586;0
Arnegg;1681.748;907.1328;0
Arnis-Grödersby;1642.366;7847.809;0
Arnsberg (Westf);400.7881;4239.07;0
Arnsberg (Westf) Süd;404.5249;4218.73;0
Arnsberg Jägerbrücke;391.8091;4229.309;0
Arnschwang;3822.335;1936.527;0
Arnsdorf (bei Dresden);4537.214;4005.543;0
Arnstadt Hbf;2420.112;3627.078;0
Arnstadt Süd;2424.867;3613.188;0
Arnstein (Unterfr);1743.242;2646.883;0
Arrach;3965.133;1854.965;0
Arsbeck;-904.3381;3990.324;0
Artern;2657.328;4213.52;0
Arth;3304.433;1146.098;0
Arzberg (Oberfr);3337.158;2781.594;0
Aschaffenburg Hbf;1152.072;2652.359;0
Aschaffenburg Süd;1156.166;2636.063;0
Aschaffenburg-Nilkheim;1126.331;2622.758;0
Aschau (Chiemgau);3540.92;256.8789;0
Ascheberg (Holst);1922.387;7294.934;0
Ascheberg (Westf);84.0542;4664.695;0
Aschendorf;-65.79077;6079.117;0
Aschersleben;2750.087;4655.25;0
Asendorf;1052.366;5756.504;0
Ashausen;1811.145;6424.895;0
Asperg;1157.074;1458.059;0
Asselheim;441.4136;2204.113;0
Assenheim (Oberhess);915.2881;3011.473;0
Aßlar;666.6704;3328.898;0
Aßling (Oberbay);3282.311;481.082;0
Aßmannshausen;238.2241;2662.684;0
Attendorn;287.79;3928.125;0
Attendorn Kraghammer;262.4995;3913.469;0
Au (Sieg);103.0747;3542.684;0
Aue (Sachs);3666.241;3396.75;0
Aue-Wingeshausen;553.0366;3842.703;0
Auehütte;2049;3482.207;0
Auerbach (bei Mosbach);1210.611;2006.109;0
Auerbach (Vogtl);3444.982;3290.879;0
Auersmacher;-377.144;1739.078;0
Auerstedt;2863.808;3929.813;0
Aufhausen (bei Erding);3196.814;794.4922;0
Aufhausen (Württ);2015.344;1409.203;0
Auggen;-9.127197;225.5234;0
Augsburg Haunstetterstraße;2456.809;861.3125;0
Augsburg Hbf;2446.835;870.8672;0
Augsburg Hirblinger Straße;2427.852;907.9219;0
Augsburg Messe;2447.248;843.3945;0
Augsburg Morellstraße;2451.261;860.7305;0
Augsburg Ring;2469.754;863.9727;0
Augsburg West;2447.972;851.3125;0
Augsburg-Hochzoll;2490.506;859.5391;0
Augsburg-Lechhausen;2476.83;893.5938;0
Augsburg-Oberhausen;2436.284;887.582;0
Augsburg-Oberhausen;2435.989;888.2227;0
Augustfehn;220.1611;6261.719;0
Auhausen;2236.144;1583.219;0
Aukrug;1563.759;7215.617;0
Aulendorf;1529.675;397.8438;0
Auma;3092.297;3493.734;0
Aumenau;516.2168;3120.66;0
Aumühle;1919.672;6606.02;0
Aurich-Tannenhausen;49.8623;6585.813;0
Auringen-Medenbach;570.3647;2800.309;0
Außenried;4107.357;1662.078;0
Auw an der Kyll;-663.4485;2591.891;0
Aying;3116.015;452.1875;0
Baabe;4068;7643;0
Baal;-862.3621;3857.328;0
Baal Gbf;-854.5608;3861.645;0
Baalberge;2969.8;4670.32;0
Baar-Ebenhausen;2860.808;1228.418;0
Babenhausen (Hess);1019.959;2627.402;0
Babenhausen-Langstadt;1009.988;2585.57;0
Babstadt;1093.097;1827.895;0
Bacharach;166.9351;2741.223;0
Bachem;-619.6589;2121.074;0
Bachern;2812.943;788.5273;0
Bachfeld;2457.986;3141.844;0
Bachheim;599.541;297.5195;0
Backnang;1361.749;1497.219;0
Abbach;3243.05;1518.145;0
Aibling;3296.009;339.2227;0
Arolsen;1046.366;4207.535;0
Bederkesa;934.5098;6710.094;0
Bellingen;-32.18164;159.3086;0
Belzig;3509.467;5108.41;0
Bentheim;-208.4238;5256.559;0
Bentheim Nord;-203.8022;5258.164;0
Bergzabern;322.5645;1679.84;0
Berka;2653.816;3692.809;0
Berleburg;625.4429;3844.184;0
Bevensen;2103.351;6107.641;0
Bibra;2855.721;4043.078;0
Birnbach;4062.609;1009.914;0
Blankenburg (Thüringerw);2657.845;3456.125;0
Bodendorf;-214.0747;3305.773;0
Bodenteich;2176.255;5837.16;0
Brambach;3411.151;2966.473;0
Bramstedt;1633.485;7036.59;0
Bramstedt Kurhaus;1633.919;7017.148;0
Breisig;-154.2251;3246.223;0
Camberg;518.1914;3005.43;0
Doberan;2948.9;7271.137;0
Doberan Goethestraße;2945.726;7280.445;0
Doberan Stadtmitte;2946.027;7278.125;0
Driburg (Westf);1070.527;4595.824;0
Düben (Mulde);3541.49;4499.66;0
Dürkheim;448.9761;2075.879;0
Dürkheim Ost;457.4771;2080.332;0
Dürkheim RHB;448.1191;2079.582;0
Dürkheim-Trift;465.2959;2083.438;0
Dürrenberg;3189.943;4168.453;0
Eilsen;1122.646;5163.25;0
Elster;3368.05;3052.57;0
Ems;144.3296;3042.23;0
Ems West;126.5242;3047.66;0
Emstal;1232.491;4062.66;0
Endorf (Oberbay);3515.771;395.8555;0
Essen;599.127;5258.879;0
Fallingbostel;1520.257;5858.305;0
Freienwalde (Oder);4444.812;5893.527;0
Friedrichshall Hbf;1193.936;1817.23;0
Friedrichshall-Kochendorf;1203.198;1802.902;0
Gandersheim;1751.572;4753.652;0
Gandersheim Gbf;1750.085;4753.402;0
Griesbach;480.0049;948.2969;0
Grönenbach;1986.532;324.0273;0
Harzburg;2118.619;4783.875;0
Herrenalb;637.7222;1343.773;0
Herrenalb Kullenmühle;640.4448;1349.453;0
Hersfeld;1553.472;3642.07;0
Höhenstadt;4241.66;1088.41;0
Homburg;778.5566;2917.457;0
Honnef (Rhein);-210.6924;3401.184;0
Hönningen;-149.0723;3256.988;0
Iburg;393.0933;5067.438;0
Imnau;877.9707;900.0703;0
Karlshafen;1355.852;4505.289;0
Kissingen;1819.642;2891.23;0
Kleinen;2675.225;6890.332;0
Kohlgrub;2577.222;113.5429;0
Kohlgrub Kurhaus;2562.875;115.914;0
König;1049.848;2382.113;0
König-Zell;1044.919;2361.844;0
Kösen;2950.315;3965.91;0
Köstritz;3177.721;3751.633;0
Kötzting;3856.694;1823.617;0
Kreuznach;234.0332;2505.313;0
Kreuznach Gbf;234.1729;2514.809;0
Krozingen;76.21606;367.8281;0
Krozingen Ost;84.41992;366.0742;0
Laasphe;641.4238;3707.074;0
Laasphe-Niederlaasphe;656.5532;3700.555;0
Laer;427.3872;5014.391;0
Langensalza;2196.016;3910.375;0
Lauchstädt West;3027.614;4260.402;0
Lausick;3600.966;4007.672;0
Lauterberg-Barbis;2027.162;4483.145;0
Liebenwerda;4103.8;4452.273;0
Liebenzell;854.665;1309.539;0
Malente-Gremsmühlen;2062.634;7317.754;0
Mergentheim;1605.903;2112.313;0
Münder (Deister);1368.997;5095.242;0
Münster am Stein;220.0073;2471.863;0
Münstereifel;-536.0903;3318.324;0
Münstereifel-Arloff;-515.8367;3361.785;0
Münstereifel-Iversheim;-531.0186;3345.133;0
Muskau;5015.258;4538.008;0
Nauheim;870.9038;3081.742;0
Nauheim Nord;870.6362;3083.078;0
Nenndorf;1306.55;5280.719;0
Neuenahr;-267.9026;3296.992;0
Neustadt (Saale);1921.672;3044.379;0
Niedernau;973.4141;962.0898;0
Bad Oeynhausen;908;5124.883;0
Bad Oeynhausen Gbf;921.48;5126.758;0
Bad Oeynhausen Süd;915.1709;5115.234;0
Oldesloe;1959.706;6913.887;0
Orb;1295.862;2929.344;0
Orb Aumühle;1286.777;2935.172;0
Peterstal;457.1177;929.3203;0
Pyrmont;1235.875;4868.063;0
Rappenau;1122.453;1824.84;0
Reichenhall;3959.444;223.168;0
Reichenhall-Kirchberg;3955.27;209.0547;0
Rodach;2315.264;3061.629;0
Rotenfels;538.2754;1358.367;0
Rotenfels Schloss;534.5225;1364.32;0
Rotenfels Weinbrennerstraße;544.7646;1353.094;0
Saarow;4502.365;5342.668;0
Saarow-Pieskow Süd;4508.346;5319.41;0
Sachsa;2139.327;4443.23;0
Säckingen;258.7671;-39.04297;0
Salzdetfurth;1738.324;4970.27;0
Salzdetfurth-Solebad;1747.018;4979.113;0
Salzhausen;1034.792;3138.133;0
Salzschlirf;1398.266;3370.875;0
Salzuflen;870.6392;4987.152;0
Salzungen;1915.668;3585.789;0
Sassendorf;468.9331;4441.105;0
Saulgau;1424.028;463.5156;0
Schandau;4660.424;3818.488;0
Schandau Ost;4689.756;3810.391;0
Schlema;3651.239;3424.754;0
Schmiedeberg;3636.393;4616.117;0
Schmiedeberg Süd;3625.65;4595.223;0
Schönborn Kronau;791.2949;1802.418;0
Schönborn Süd;788.0298;1782.188;0
Schussenried;1548.065;444.5273;0
Schwalbach;395.4336;2841.219;0
Schwartau;2167.599;7041.785;0
Sebastiansweiler-Belsen;1070.018;888.1523;0
Segeberg;1906.838;7054.969;0
Sobernheim;76.53516;2439.535;0
Soden (Taunus);695.4751;2831.832;0
Soden-Salmünster;1314.085;2985.84;0
Sooden-Allendorf;1723.657;4087.109;0
St Peter Süd;822.0142;7461;0
St Peter-Ording;800.543;7473.734;0
Staffelstein;2474.611;2811.844;0
Bad Steben;2932.637;3111.773;0
Suderode;2516.769;4621.707;0
Sulza;2894.32;3923.609;0
Sulza Nord;2889.062;3925.672;0
Teinach / Neubulach;848.8179;1204.914;0
Tölz;2978.037;215.0625;0
Tönisstein;-157.2136;3195.578;0
Urach;1341.612;995.9023;0
Urach Wasserfall;1326.583;1005.219;0
Vilbel;862.7046;2882.27;0
Vilbel Süd;858.2158;2871.32;0
Vilbel-Gronau;895.4653;2885.66;0
Waldsee;1610.934;368.8906;0
Wildbad;718.4707;1292.641;0
Wildungen;1146.336;3917.422;0
Wilsnack;3028.664;6005.832;0
Wimpfen;1170.032;1816.18;0
Wimpfen im Tal;1186.834;1817.234;0
Wimpfen-Hohenstadt;1150.669;1830.91;0
Windsheim;2071.507;2133.129;0
Wörishofen;2240.795;468.0977;0
Wurzach;1713.39;354.207;0
Zwischenahn;382.2026;6216.605;0
Baddeckenstedt;1890.292;5002.797;0
Baden (Kr Verden);1102.781;6017.652;0
Baden-Baden;454.5972;1330.523;0
Baden-Baden Haueneberstein;470.1167;1357.965;0
Baden-Baden Rebland;421.0269;1266.73;0
Baerl Kreisb;-570.7729;4353.047;0
Bagenz;4801.79;4651.504;0
Bahlingen am Kaiserstuhl;112.5742;595.043;0
Bahlingen-Riedlen;116.7808;587.8398;0
Bahnbrücken;877.0972;1693.273;0
Bahnsdorf;4591.515;4556.895;0
Baienfurt;1538.087;260.3438;0
Baierbrunn;2898.25;499.3789;0
Baiersbronn;585.2485;1009.34;0
Baiersdorf;2519.373;2309.457;0
Baitz;3571.174;5143.508;0
Balbersdorf;3727.126;1947.539;0
Baldham;3122.293;597.2656;0
Balduinstein;313.1104;3064.738;0
Balgheim;870.6157;521.9297;0
Balgstädt;2961.534;4051.52;0
Balhorn;1211.956;4073.418;0
Balingen (Württ);937.2583;757.8242;0
Balingen Süd;934.8643;747.7969;0
Ballenstedt Ost;2604.455;4614.059;0
Ballenstedt West;2586.106;4613.078;0
Ballstädt (Kr Gotha);2246.078;3843.258;0
Baltersweiler;-278.5396;2126.305;0
Baltic Rail Gate;2267.877;7066.145;0
Balve;254.6851;4159.141;0
Bamberg;2412.784;2578.902;0
Bammental;891.9434;1961.109;0
Bandau;2483.179;5663.824;0
Bannemin-Mölschow;4183.539;7323.02;0
Bansin;4413.438;7203.059;0
Banteln;1563.438;4972.457;0
Bantorf;1333.244;5267.125;0
Barabein;1662.124;612.3086;0
Barbelroth;370.1997;1680.449;0
Barby;3020.018;4902.109;0
Barchel;1068.021;6535.07;0
Bardowick;1962.505;6340.984;0
Barenburg;899.5576;5599.648;0
Bärenhecke-Johnsbach;4409.162;3701.34;0
Bärenklau;3849.751;5758.016;0
Bärenstein (bei Glashütte/Sachs);4425.397;3682.828;0
Bärenstein (Kr Annaberg);3905.739;3314.289;0
Bärenweg;594.9072;1614.559;0
Bargstedt;1345.851;6518.488;0
Bargteheide;1886.297;6825.199;0
Barleben;2840.092;5161.113;0
Barleber See;2852.771;5168.91;0
Barmstedt;1557.542;6893.664;0
Barmstedt Brunnenstraße;1551.923;6893.195;0
Bärnsdorf;4348.504;4075.277;0
Barnstorf (Han);718.1982;5684.504;0
Barnten;1605.9;5116.418;0
Barntrup (Extertalbahn);1131.514;4887.758;0
Barrien;927.2173;5950.289;0
Barsikow;3412.578;5904.324;0
Barsinghausen;1367.591;5236.484;0
Barßel;214.269;6201.07;0
Barth;3470.087;7587.992;0
Barthmühle;3289.623;3340.449;0
Bartmannsholte;350.1655;5737.895;0
Baruth (Mark);4141.499;5057.582;0
Basdahl-Kluste;1054.765;6508.965;0
Basdorf;4043.423;5784.414;0
Basel Bad Bf;-45;-26.3;0
Bassum;873.6865;5839.309;0
Battenberg;795.8267;3809.266;0
Battenfeld (Eder);808.4438;3809.875;0
Batzenhäusle;259.6118;552.918;0
Batzhausen;2938.253;1805.766;0
Bauerbach;866.0781;1641.457;0
Bäumenheim;2382.143;1219.777;0
Baumholder;-159.4124;2256.164;0
Baunach;2379.543;2675.297;0
Baunatal;1347.223;4077.168;0
Baunatal-Großenritte;1321.348;4065.652;0
Baunatal-Guntershausen;1375.081;4041.039;0
Baunatal-Rengershausen;1376.142;4069.004;0
Bautzen;4842.353;4116.355;0
Bavendorf;2138.907;6229.445;0
Bayerbach;4108.127;992.168;0
Bayerisch Eisenstein;4120.05;1780.922;0
Bayerisch Gmain;3970.118;211.3594;0
Bayreuth Hbf;2899.885;2648.805;0
Bayreuth-St Georgen;2911.175;2657.402;0
Bayrischzell;3309.905;132.8633;0
Bebitz;2957.999;4625.734;0
Bebra;1609.476;3753.313;0
Bechstedt-Trippstein;2582.987;3427.422;0
Beckedorf;1759.829;5807.57;0
Beckingen (Saar);-628.3545;2016.668;0
Beckum;386.418;4634.77;0
Beckum Ost;399.9917;4632.141;0
Bedburg (Erft);-655.2017;3797.652;0
Bedburg-Hau;-902.5491;4663.41;0
Beddingen;2040.017;5148.875;0
Beedenbostel;1904.16;5615.938;0
Beelen;444.3936;4821.07;0
Beelitz Heilstätten;3729.148;5261.988;0
Beelitz Stadt;3757.231;5237.391;0
Beerfelden-Hetzbach;1044.742;2221.973;0
Beerwalde (Kr Schmölln);3311.053;3696.008;0
Beeskow;4638.348;5224.215;0
Beetz-Sommerfeld;3758.998;5866.867;0
Beetzendorf (Sachs-Anh);2459.902;5697.719;0
Bega;1087.697;4910.965;0
Behnsdorf;2513.502;5264.594;0
Behrend;2893.022;5871.488;0
Behringersdorf;2640.01;2118.355;0
Behringersmühle;2730.296;2447.539;0
Beienheim;921.2456;3071.516;0
Beilrode;3865.684;4497.59;0
Beimerstetten;1770.969;989.0156;0
Beldorf;1282.909;7261.449;0
Belecke;587.2593;4327.293;0
Belgershain;3523.019;4103.188;0
Belleben;2877.343;4571.645;0
Bellenberg;1858.646;736.5234;0
Bellheim Am Mühlbuckel;537.5811;1777.434;0
Bellheim Bahnhof;535.1943;1771.367;0
Belm;458.1274;5247.824;0
Bempflingen;1251.012;1085.969;0
Bendorf (Rhein);33.39673;3144.023;0
Benediktbeuern;2851.668;153.7188;0
Bengel;-342.6511;2701.516;0
Benhausen;916.1582;4594.285;0
Benndorf;2774.864;4453.375;0
Benneckenstein;2234.449;4547.164;0
Bennemühlen;1541.137;5545.613;0
Bennigsen;1503.994;5166.219;0
Benningen (Neckar);1228.944;1497.438;0
Benninghausen;535.9106;4501.805;0
Bennungen;2525.034;4321.23;0
Benrad-St Tönis;-694.9207;4195.754;0
Benshausen;2182.316;3414.457;0
Bensheim;772.0854;2320.082;0
Bensheim-Auerbach;770.1436;2340.133;0
Bensheimer Straße;707.1216;2134.18;0
Bentwisch;3147.677;7300.023;0
Benzelrath;-500.6606;3698.793;0
Benzen;1443.228;5824.379;0
Beratzhausen;3099.027;1701.25;0
Berbisdorf;4350.625;4097.949;0
Berbisdorf Anbau;4350.797;4111.125;0
Berchtesgaden Hbf;4053.202;112.1836;0
Berenbach;-408.4373;2947.793;0
Berg (Pfalz);472.8472;1541.973;0
Berga (Elster);3277.306;3550.25;0
Berga-Kelbra;2448.844;4306.285;0
Bergen (bei Celle);1707.394;5801.418;0
Bergen (Oberbay);3738.265;316.6953;0
Bergen auf Rügen;3913.906;7679.082;0
Bergenweiler;1987.936;1098.25;0
Bergfelde (bei Berlin);3970.26;5729.516;0
Berghausen;594.5254;3823.277;0
Berghausen (Baden);706.4092;1567.355;0
Berghausen (Pfalz);615.0278;1889.359;0
Berghausen Hummelberg;703.1963;1572.574;0
Berghausen Pfinzbrücke;698.7988;1568.957;0
Bergheim (Erft);-605.9409;3757.098;0
Bergheim (Westf);1086.685;4704.391;0
Bergheim-Giflitz;1143.103;3960.148;0
Bergisch Gladbach;-267.886;3790.574;0
Bergkamen;112.8516;4498.582;0
Bergsdorf;3911.912;6023.172;0
Bergtheim;1822.025;2566.625;0
Bergwitz;3514.634;4738.633;0
Bergzow-Parchen;3136.59;5356.563;0
Beringhausen;875.9521;4238.223;0
Beringstedt;1401.096;7248.859;0
Berkau;2731.25;5639.215;0
Berkenbrück;4567.647;5419.875;0
Berlin Alexanderplatz;4040.989;5567.75;0
Berlin Alt Reinickendorf;3996.571;5628.109;0
Berlin Anhalter Bf;4022.435;5546.598;0
Berlin Attilastraße;4011.397;5484.629;0
Berlin Bellevue;3996.588;5563.598;0
